bbl,address1,address2,zip,status1,status2,status3
2024860025,1025 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024770015,1040 GERARD AVE,,10452,MULTIPLE DWELLING A,NON-EVICT COOP/COND,
2024870010,1065 GERARD AVE,,10452,MULTIPLE DWELLING A,421-A,
2024780007,1068 GERARD AVE,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A
2024870020,1075 GERARD AVE,,10452,MULTIPLE DWELLING A,421-A,
2024780012,1082-1084 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024780018,1098-1100 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024870042,1111 GERARD AVE,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A
2024780024,1112-1114 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024880046,1151-1155 GERARD AVE,57-59 MCCLELLAN ST,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,J-51
2024880041,1165 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024790005,1166 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024790012,1170 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024880036,1175 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024790015,1180 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024880031,1183 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024890054,1265 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024810001,1270 GERARD AVE,,10452,MULTIPLE DWELLING A,,
2024710050,,123 E 164TH ST,10452,MULTIPLE DWELLING A,,
2024710036,,,10452,MULTIPLE DWELLING A,NON-EVICT COOP/COND,
2024710024,,158 E 165TH ST,10452,MULTIPLE DWELLING A,J-51,
2024720028,,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2024720023,,,10452,MULTIPLE DWELLING A,,
2024720011,,,10452,MULTIPLE DWELLING A,,
2024630021,,,10452,MULTIPLE DWELLING A,,
2024630016,,,10452,MULTIPLE DWELLING A,,
2024630053,,,10452,MULTIPLE DWELLING A,,
2024630046,,,10452,MULTIPLE DWELLING B,,
2024640007,,,10452,MULTIPLE DWELLING A,,
2024640023,,,10452,MULTIPLE DWELLING A,,
2024660032,,,10452,MULTIPLE DWELLING A,,
2028390068,,,10452,MULTIPLE DWELLING A,,
2028390057,,150 E CLARKE PL,10452,MULTIPLE DWELLING A,,
2028410070,,153 MARCY PL,10452,MULTIPLE DWELLING A,,
2028410063,,136-138 ELLIOT PL,10452,MULTIPLE DWELLING A,,
2028350026,,,10452,MULTIPLE DWELLING A,,
2028350016,,,10452,MULTIPLE DWELLING A,,
2028360012,,,10452,MULTIPLE DWELLING A,,
2028370031,,,10452,MULTIPLE DWELLING A,,
2028370018,,,10452,MULTIPLE DWELLING A,,
2028380023,,,10452,MULTIPLE DWELLING A,,
2028380012,,,10452,MULTIPLE DWELLING A,,
2024650038,1245 GRANDVIEW PL,,10452,MULTIPLE DWELLING A,,
2028370001,103-105 HAWKSTONE ST,,10452,MULTIPLE DWELLING A,,
2028640073,1323 INWOOD AVE,,10452,MULTIPLE DWELLING A,,
2028590001,1484 INWOOD AVE,,10452,MULTIPLE DWELLING A,,
2025040141,1001 JEROME AVE,,10452,MULTIPLE DWELLING A,,
2025040126,1005 JEROME AVE,1000 ANDERSON AVE,10452,MULTIPLE DWELLING A,,
2025040105,1055 JEROME AVE,,10452,MULTIPLE DWELLING A,,
2025050030,1065-1081 JEROME AVE,,10452,MULTIPLE DWELLING A,,
2025050084,1115 JEROME AVE,,10452,MULTIPLE DWELLING A,,
2025050064,1141-1161 JEROME AVE,,10452,MULTIPLE DWELLING A,ARTICLES 14 & 15,
2028550027,1263 JEROME AVE,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2028720040,1387-1389 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720054,1400 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720036,1401 JESUP AVE,,10452,MULTIPLE DWELLING A,421-A,
2028720058,1404 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720029,1419 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720028,1427 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720189,1450 JESUP AVE,,10452,MULTIPLE DWELLING A,421-A,
2028720205,1455 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720207,1465-1469 JESUP AVE,,10452,MULTIPLE DWELLING B,,
2028720216,1475-1479 JESUP AVE,84 W 172ND ST,10452,MULTIPLE DWELLING A,,
2028720287,1510 JESUP AVE,,10452,MULTIPLE DWELLING A,421-A,
2028720280,1530 JESUP AVE,,10452,MULTIPLE DWELLING A,,
2028720256,1592 JESUP AVE,,10452,MULTIPLE DWELLING A,421-A,
2028720200,65 JESUP PL,1445-1447 JESUP AVE,10452,MULTIPLE DWELLING B,,
2028570081,1425-1441 MACOMBS RD,1425 JEROME AVE,10452,MULTIPLE DWELLING A,,
2028570077,1447 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028580001,1460 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028570024,1479 MACOMBS RD,,10452,MULTIPLE DWELLING A,ARTICLE 11,
2028570028,1485 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028720320,1491 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028720326,1505 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028720331,1515 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028650032,1566 MACOMBS RD,,10452,MULTIPLE DWELLING A,,
2028400049,106-108 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028400054,120 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028410083,125 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028400054,130 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028400008,14-16 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028410001,15 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028400014,22-24 MARCY PL,,10452,MULTIPLE DWELLING A,J-51,
2028410025,35 MARCY PL,,10452,MULTIPLE DWELLING A,,
2028400018,38-40 MARCY PL,1335-1337 WALTON AVE,10452,MULTIPLE DWELLING A,,
2024630026,115 MCCLELLAN ST,,10452,MULTIPLE DWELLING A,,
2024960081,35 MCCLELLAN ST,1149-1157 RIVER AVE,10452,MULTIPLE DWELLING A,,
2024780030,80 MCCLELLAN ST,,10452,MULTIPLE DWELLING A,GARDEN COMPLEX,
2024790001,85 MCCLELLAN ST,,10452,MULTIPLE DWELLING A,NON-EVICT COOP/COND,
2025320043,1307-1315 MERRIAM AVE,,10452,MULTIPLE DWELLING A,,
2025310005,1314 MERRIAM AVE,,10452,MULTIPLE DWELLING A,,
2025320033,1333 MERRIAM AVE,,10452,MULTIPLE DWELLING A,J-51,
2025320033,1337 MERRIAM AVE,,10452,MULTIPLE DWELLING A,J-51,
2025310013,1340 MERRIAM AVE,,10452,MULTIPLE DWELLING A,,
2025320033,1343 MERRIAM AVE,,10452,MULTIPLE DWELLING A,J-51,
